Year,Antarctic CO2 (ppm)CH4 (ppb),Antarctic CH4 (ppb), Antarctic N2O (ppb),Antarctic Synthetic greenhous gases (ppb),Cape Grim CO2 (ppm),Cape Grim CH4 (ppb),Cape Grim N2O (ppb),Cape Grim Synthetic greenhouse gases (ppb)
1500,282.26,698.57,268.38,0.037,,,,
1501,282.35,699.92,268.54,0.037,,,,
1502,282.43,701.27,268.71,0.037,,,,
1503,282.51,702.63,268.89,0.037,,,,
1504,282.58,703.96,269.07,0.037,,,,
1505,282.65,705.25,269.26,0.037,,,,
1506,282.71,706.44,269.45,0.037,,,,
1507,282.77,707.52,269.64,0.037,,,,
1508,282.82,708.44,269.83,0.037,,,,
1509,282.86,709.22,270.03,0.037,,,,
1510,282.91,709.85,270.22,0.037,,,,
1511,282.94,710.35,270.41,0.037,,,,
1512,282.98,710.73,270.59,0.037,,,,
1513,283.01,711,270.77,0.037,,,,
1514,283.04,711.17,270.95,0.037,,,,
1515,283.06,711.24,271.11,0.037,,,,
1516,283.08,711.23,271.27,0.037,,,,
1517,283.1,711.15,271.42,0.037,,,,
1518,283.12,711.01,271.56,0.037,,,,
1519,283.13,710.81,271.68,0.037,,,,
1520,283.14,710.57,271.8,0.037,,,,
1521,283.15,710.29,271.89,0.037,,,,
1522,283.16,709.99,271.98,0.037,,,,
1523,283.17,709.67,272.04,0.037,,,,
1524,283.18,709.35,272.09,0.037,,,,
1525,283.18,709.03,272.12,0.037,,,,
1526,283.19,708.73,272.13,0.037,,,,
1527,283.19,708.45,272.12,0.037,,,,
1528,283.2,708.21,272.08,0.037,,,,
1529,283.21,708.01,272.02,0.037,,,,
1530,283.21,707.86,271.94,0.037,,,,
1531,283.22,707.77,271.83,0.037,,,,
1532,283.23,707.75,271.7,0.037,,,,
1533,283.23,707.78,271.57,0.037,,,,
1534,283.24,707.85,271.43,0.037,,,,
1535,283.24,707.95,271.29,0.037,,,,
1536,283.24,708.07,271.15,0.037,,,,
1537,283.24,708.19,271.03,0.037,,,,
1538,283.24,708.31,270.92,0.037,,,,
1539,283.23,708.45,270.81,0.037,,,,
1540,283.22,708.61,270.71,0.037,,,,
1541,283.2,708.8,270.62,0.037,,,,
1542,283.18,709.03,270.54,0.037,,,,
1543,283.15,709.31,270.47,0.037,,,,
1544,283.11,709.64,270.4,0.037,,,,
1545,283.07,710.03,270.34,0.037,,,,
1546,283.02,710.5,270.29,0.037,,,,
1547,282.97,711.04,270.25,0.037,,,,
1548,282.9,711.67,270.21,0.037,,,,
1549,282.82,712.4,270.17,0.037,,,,
1550,282.74,713.23,270.14,0.037,,,,
1551,282.64,714.17,270.12,0.037,,,,
1552,282.54,715.21,270.1,0.037,,,,
1553,282.43,716.3,270.09,0.037,,,,
1554,282.33,717.39,270.08,0.037,,,,
1555,282.22,718.43,270.07,0.037,,,,
1556,282.11,719.36,270.06,0.037,,,,
1557,282.01,720.14,270.05,0.037,,,,
1558,281.92,720.7,270.04,0.037,,,,
1559,281.84,721.01,270.03,0.037,,,,
1560,281.76,721,270.02,0.037,,,,
1561,281.71,720.63,270.01,0.037,,,,
1562,281.67,719.85,269.99,0.037,,,,
1563,281.64,718.66,269.97,0.037,,,,
1564,281.63,717.13,269.95,0.037,,,,
1565,281.63,715.29,269.92,0.037,,,,
1566,281.64,713.22,269.89,0.037,,,,
1567,281.66,710.96,269.86,0.037,,,,
1568,281.69,708.57,269.82,0.037,,,,
1569,281.73,706.1,269.78,0.037,,,,
1570,281.77,703.6,269.74,0.037,,,,
1571,281.82,701.13,269.7,0.037,,,,
1572,281.88,698.75,269.65,0.037,,,,
1573,281.95,696.5,269.6,0.037,,,,
1574,282.01,694.45,269.55,0.037,,,,
1575,282.08,692.63,269.5,0.037,,,,
1576,282.14,691.04,269.44,0.037,,,,
1577,282.19,689.64,269.38,0.037,,,,
1578,282.22,688.41,269.32,0.037,,,,
1579,282.24,687.32,269.26,0.037,,,,
1580,282.23,686.36,269.19,0.037,,,,
1581,282.19,685.49,269.12,0.037,,,,
1582,282.11,684.7,269.05,0.037,,,,
1583,282,683.95,268.98,0.037,,,,
1584,281.84,683.22,268.9,0.037,,,,
1585,281.63,682.49,268.82,0.037,,,,
1586,281.36,681.72,268.74,0.037,,,,
1587,281.04,680.9,268.65,0.037,,,,
1588,280.66,680,268.56,0.037,,,,
1589,280.2,679,268.47,0.037,,,,
1590,279.71,677.87,268.38,0.037,,,,
1591,279.2,676.69,268.28,0.037,,,,
1592,278.7,675.57,268.18,0.037,,,,
1593,278.24,674.62,268.08,0.037,,,,
1594,277.79,673.85,267.98,0.037,,,,
1595,277.36,673.28,267.88,0.037,,,,
1596,276.95,672.89,267.77,0.037,,,,
1597,276.55,672.69,267.66,0.037,,,,
1598,276.16,672.67,267.55,0.037,,,,
1599,275.79,672.83,267.44,0.037,,,,
1600,275.41,673.18,267.33,0.037,,,,
1601,275.05,673.7,267.22,0.037,,,,
1602,274.68,674.41,267.11,0.037,,,,
1603,274.31,675.29,267,0.037,,,,
1604,273.94,676.34,266.89,0.037,,,,
1605,273.57,677.57,266.78,0.037,,,,
1606,273.21,678.93,266.67,0.037,,,,
1607,272.86,680.37,266.57,0.037,,,,
1608,272.55,681.82,266.46,0.037,,,,
1609,272.27,683.23,266.36,0.037,,,,
1610,272.03,684.53,266.26,0.037,,,,
1611,271.85,685.67,266.16,0.037,,,,
1612,271.72,686.58,266.06,0.037,,,,
1613,271.65,687.26,265.97,0.037,,,,
1614,271.62,687.74,265.88,0.037,,,,
1615,271.64,688.05,265.79,0.037,,,,
1616,271.69,688.23,265.7,0.037,,,,
1617,271.79,688.31,265.62,0.037,,,,
1618,271.92,688.32,265.54,0.037,,,,
1619,272.07,688.29,265.46,0.037,,,,
1620,272.26,688.26,265.39,0.037,,,,
1621,272.46,688.26,265.32,0.037,,,,
1622,272.69,688.32,265.26,0.037,,,,
1623,272.93,688.47,265.19,0.037,,,,
1624,273.18,688.76,265.13,0.037,,,,
1625,273.44,689.18,265.08,0.037,,,,
1626,273.7,689.74,265.03,0.037,,,,
1627,273.97,690.39,264.98,0.037,,,,
1628,274.23,691.1,264.93,0.037,,,,
1629,274.49,691.84,264.89,0.037,,,,
1630,274.73,692.58,264.86,0.037,,,,
1631,274.97,693.29,264.82,0.037,,,,
1632,275.19,693.94,264.8,0.037,,,,
1633,275.41,694.52,264.77,0.037,,,,
1634,275.61,695.01,264.75,0.037,,,,
1635,275.8,695.4,264.74,0.037,,,,
1636,275.98,695.66,264.73,0.037,,,,
1637,276.15,695.78,264.73,0.037,,,,
1638,276.31,695.74,264.72,0.037,,,,
