"","year","CO2","CH4","NO2","SGG","location","latitude","longitude","location_name","country","state","count","mean","min","max"
"1",1858,285.3673,0.7927,0.27114,3.7e-05,"074128",-35.55,144.95,"DENILIQUIN","Australia","New South Wales",334,1.31497005988024,0,48.8
"2",1858,285.3673,0.7927,0.27114,3.7e-05,"058063",-28.88,153.05,"CASINO","Australia","New South Wales",334,2.67425149700599,0,48.3
"3",1859,285.35597,0.79403,0.27131,3.7e-05,"074128",-35.55,144.95,"DENILIQUIN","Australia","New South Wales",365,0.924931506849315,0,25.7
"4",1859,285.35597,0.79403,0.27131,3.7e-05,"058063",-28.88,153.05,"CASINO","Australia","New South Wales",365,2.2386301369863,0,97
"5",1860,285.34424,0.79576,0.27149,3.7e-05,"058063",-28.88,153.05,"CASINO","Australia","New South Wales",336,3.78809523809524,0,106.9
"6",1860,285.34424,0.79576,0.27149,3.7e-05,"074128",-35.55,144.95,"DENILIQUIN","Australia","New South Wales",366,1.35546448087432,0,52.8
"7",1861,285.3222,0.7978,0.27166,3.7e-05,"058063",-28.88,153.05,"CASINO","Australia","New South Wales",365,3.85890410958904,0,119.9
"8",1861,285.3222,0.7978,0.27166,3.7e-05,"074128",-35.55,144.95,"DENILIQUIN","Australia","New South Wales",365,1.05315068493151,0,38.1
"9",1863,285.28739,0.80261,0.27201,3.7e-05,"074128",-35.55,144.95,"DENILIQUIN","Australia","New South Wales",365,1.74054794520548,0,44.2
"10",1864,285.32479,0.80521,0.27219,3.7e-05,"084016",-37.57,149.91,"GABO","Australia","Victoria",336,3.67410714285714,0,109.2
"11",1866,285.67013,0.80987,0.27255,3.7e-05,"074128",-35.55,144.95,"DENILIQUIN","Australia","New South Wales",365,1.07205479452055,0,51.8
"12",1867,285.95819,0.81181,0.27274,3.7e-05,"074128",-35.55,144.95,"DENILIQUIN","Australia","New South Wales",365,1.43232876712329,0,41.9
"13",1867,285.95819,0.81181,0.27274,3.7e-05,"084016",-37.57,149.91,"GABO","Australia","Victoria",365,2.69178082191781,0,108
"14",1868,286.29636,0.81364,0.27294,3.7e-05,"074128",-35.55,144.95,"DENILIQUIN","Australia","New South Wales",366,0.880874316939891,0,29.5
"15",1868,286.29636,0.81364,0.27294,3.7e-05,"084016",-37.57,149.91,"GABO","Australia","Victoria",366,1.82377049180328,0,34.3
"16",1869,286.67451,0.81549,0.27315,3.7e-05,"084016",-37.57,149.91,"GABO","Australia","Victoria",365,3.8613698630137,0,101.6
"17",1869,286.67451,0.81549,0.27315,3.7e-05,"074128",-35.55,144.95,"DENILIQUIN","Australia","New South Wales",334,0.946706586826347,0,45
"18",1870,287.08252,0.81748,0.27338,3.7e-05,"074128",-35.55,144.95,"DENILIQUIN","Australia","New South Wales",365,1.71534246575342,0,50.8
"19",1870,287.08252,0.81748,0.27338,3.7e-05,"084016",-37.57,149.91,"GABO","Australia","Victoria",323,2.95851393188854,0,128.3
"20",1871,287.52029,0.81971,0.27362,3.7e-05,"074128",-35.55,144.95,"DENILIQUIN","Australia","New South Wales",365,1.44575342465753,0,63.5
"21",1871,287.52029,0.81971,0.27362,3.7e-05,"047053",-34.11,141.91,"WENTWORTH","Australia","New South Wales",365,1.07506849315068,0,68.6
"22",1871,287.52029,0.81971,0.27362,3.7e-05,"062021",-32.6,149.6,"MUDGEE","Australia","New South Wales",334,1.6059880239521,0,39.9
"23",1871,287.52029,0.81971,0.27362,3.7e-05,"084016",-37.57,149.91,"GABO","Australia","Victoria",365,2.86904109589041,0,51.6
"24",1871,287.52029,0.81971,0.27362,3.7e-05,"061014",-32.64,151.42,"BRANXTON","Australia","New South Wales",363,2.31955922865014,0,97.8
"25",1872,287.92795,0.82205,0.27387,3.7e-05,"047053",-34.11,141.91,"WENTWORTH","Australia","New South Wales",366,1.09508196721311,0,61.7
"26",1872,287.92795,0.82205,0.27387,3.7e-05,"061014",-32.64,151.42,"BRANXTON","Australia","New South Wales",356,1.82865168539326,0,48.5
"27",1872,287.92795,0.82205,0.27387,3.7e-05,"084016",-37.57,149.91,"GABO","Australia","Victoria",366,2.55765027322404,0,62.2
"28",1872,287.92795,0.82205,0.27387,3.7e-05,"074128",-35.55,144.95,"DENILIQUIN","Australia","New South Wales",366,1.20628415300546,0,31.2
"29",1872,287.92795,0.82205,0.27387,3.7e-05,"062021",-32.6,149.6,"MUDGEE","Australia","New South Wales",366,2.2775956284153,0,118.9
"30",1873,288.28563,0.82437,0.27412,3.7e-05,"062021",-32.6,149.6,"MUDGEE","Australia","New South Wales",365,1.64465753424658,0,53.3
"31",1873,288.28563,0.82437,0.27412,3.7e-05,"047053",-34.11,141.91,"WENTWORTH","Australia","New South Wales",365,0.900547945205479,0,20.3
"32",1873,288.28563,0.82437,0.27412,3.7e-05,"085096",-39.13,146.42,"WILSONS","Australia","Victoria",365,3.0158904109589,0,55.9
"33",1873,288.28563,0.82437,0.27412,3.7e-05,"061014",-32.64,151.42,"BRANXTON","Australia","New South Wales",353,3.00679886685552,0,59.9
"34",1873,288.28563,0.82437,0.27412,3.7e-05,"074128",-35.55,144.95,"DENILIQUIN","Australia","New South Wales",365,1.56821917808219,0,70.9
"35",1874,288.54341,0.82659,0.27439,3.7e-05,"074128",-35.55,144.95,"DENILIQUIN","Australia","New South Wales",365,1.27150684931507,0,38.1
"36",1874,288.54341,0.82659,0.27439,3.7e-05,"047053",-34.11,141.91,"WENTWORTH","Australia","New South Wales",365,0.764931506849315,0,22.1
"37",1874,288.54341,0.82659,0.27439,3.7e-05,"062021",-32.6,149.6,"MUDGEE","Australia","New South Wales",365,2.40027397260274,0,91.2
"38",1874,288.54341,0.82659,0.27439,3.7e-05,"085096",-39.13,146.42,"WILSONS","Australia","Victoria",365,2.91753424657534,0,34.8
"39",1874,288.54341,0.82659,0.27439,3.7e-05,"082001",-36.37,146.71,"BEECHWORTH","Australia","Victoria",365,2.51506849315069,0,69.3
"40",1875,288.6714,0.8286,0.27465,3.7e-05,"085096",-39.13,146.42,"WILSONS","Australia","Victoria",364,3.41978021978022,0,36.8
"41",1875,288.6714,0.8286,0.27465,3.7e-05,"047053",-34.11,141.91,"WENTWORTH","Australia","New South Wales",365,0.886575342465753,0,20.6
"42",1875,288.6714,0.8286,0.27465,3.7e-05,"074128",-35.55,144.95,"DENILIQUIN","Australia","New South Wales",365,1.62986301369863,0,52.1
"43",1876,288.71966,0.83034,0.27492,3.7e-05,"047053",-34.11,141.91,"WENTWORTH","Australia","New South Wales",366,0.621311475409836,0,42.9
"44",1876,288.71966,0.83034,0.27492,3.7e-05,"062021",-32.6,149.6,"MUDGEE","Australia","New South Wales",306,1.55718954248366,0,38.1
"45",1876,288.71966,0.83034,0.27492,3.7e-05,"085096",-39.13,146.42,"WILSONS","Australia","Victoria",366,2.99043715846995,0,61
"46",1876,288.71966,0.83034,0.27492,3.7e-05,"069018",-35.91,150.15,"MORUYA","Australia","New South Wales",366,2.71475409836066,0,81
"47",1876,288.71966,0.83034,0.27492,3.7e-05,"074128",-35.55,144.95,"DENILIQUIN","Australia","New South Wales",366,0.948907103825137,0,57.2
"48",1876,288.71966,0.83034,0.27492,3.7e-05,"082001",-36.37,146.71,"BEECHWORTH","Australia","Victoria",365,2.31095890410959,0,56.9
"49",1877,288.7181,0.8319,0.27518,3.7e-05,"069018",-35.91,150.15,"MORUYA","Australia","New South Wales",365,2.3613698630137,0,156.5
"50",1877,288.7181,0.8319,0.27518,3.7e-05,"086131",-37.56,145.13,"YAN","Australia","Victoria",365,1.39013698630137,0,22.6
"51",1877,288.7181,0.8319,0.27518,3.7e-05,"047053",-34.11,141.91,"WENTWORTH","Australia","New South Wales",365,0.597534246575342,0,17
"52",1877,288.7181,0.8319,0.27518,3.7e-05,"082001",-36.37,146.71,"BEECHWORTH","Australia","Victoria",365,1.84027397260274,0,33.5
